GVP;GEOROC
Michoacan-Guanajuato;MICHOACAN-GUANAJUATO VOLCANIC FIELD - SAN MIGUEL,MICHOACAN-GUANAJUATO VOLCANIC FIELD - HOYA ALVEREZ,MICHOACAN-GUANAJUATO VOLCANIC FIELD - EL ASTILLERO,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO PELON,MICHOACAN-GUANAJUATO VOLCANIC FIELD,MICHOACAN-GUANAJUATO VOLCANIC FIELD - LA LOMA,MICHOACAN-GUANAJUATO VOLCANIC FIELD - PARICUTIN,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO EL HUN,MICHOACAN-GUANAJUATO VOLCANIC FIELD - JORULLO,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO SAN JU
Miyakejima;MIYAKEJIMA
Mocho-Choshuenco;MOCHO-CHOSHUENCO
Monowai;MONOWAI
Montagu Island;MONTAGU
Morning;MOUNT MORNING
Moua Pihaa;MOUA PIHAA
Muhavura;MUHAVURA
Nabro;NABRO
Nabukelevu;NAKOBALEVU
Namarunu;NAMARUNU
Negro, Cerro;CERRO NEGRO
Nejapa-Miraflores;NEJAPA
Nemo Peak;NEMO
Ngozi;NGOZI
Nightingale Island;NIGHTINGALE
Nisyros;NISYROS
Niuafo'ou;NIUAFO'OU,NIUAFO^OU
Niuatahi;NIUATAHI
North Island;NORTH ISLAND - LAKE TURKANA
North Vate;VATE TROUGH,VATE ZONE
Northern Lake Abaya Volcanic Field;ABAYA LAKE
Nosy-Be;NOSY BE ARCHIPELAGO
Nyambeni Hills;NYAMBENI RANGE
Nyamuragira;NYAMURAGIRA
Nyiragongo;NYIRAGONGO
Ofu-Olosega;OFU
Okataina;OKATAINA CALDERA,OKATAINA MUSH,OKATAINA CALDERA - TARAWERA
Okmok;OKMOK
Oku Volcanic Field;MOUNT OKU GROUP,NORTHERN OKU MASSIF
Ol Kokwe;OL KOKWE ISLAND
Olkaria;GREATER OLKARIA(NAIVASHA) 
Oraefajokull;ORAEFAJOKULL,ÖRAEFAJÖKULL
Osorno;OSORNO
Pacaya;PACAYA
Pagan;PAGAN
Paka;PAKA
Pantelleria;PANTELLERIA
Payun Matru;PAYUN MATRU VOLCANIC FIELD
Peter I Island;PETER I ISLAND
Pico;PICO
Picos Volcanic System;SAO MIGUEL
Piip;PIIP
Pilas, Las;LAS PILAS,EL HOYO
Pinatubo;PINATUBO
Planchon-Peteroa;PLANCHON-PETEROA
Pleiades, The;THE PLEIADES VOLCANIC COMPLEX,PLEIADES
Popocatepetl;POPOCATEPETL
Possession, Ile de la;ILE DE LA POSSESSION
Prestahnukur;PRESTAHNUKUR
Prince Edward Island;PRINCE EDWARD ISLANDS
Protector Seamounts;PROTECTOR SHOAL
Quetrupillan;QUETRUPILLAN VOLCANIC CENTER
Quilotoa;QUILOTOA
Rabaul;RABAUL
Rainier;MOUNT RAINIER
Raoul Island;RAOUL
Reporoa;REPOROA
Reventador;REVENTADOR
Reykjanes;REYKJANES PENINSULA
Rocard;ROCARD
Ruapehu;TONGARIRO VOLCANIC CENTER - RUAPEHU,RUAPEHU
Rumble II West;RUMBLE II (WEST)
Rumble III;RUMBLE III
Rumble III;RUMBLE III
Rumble IV;RUMBLE IV
Rumble IV;RUMBLE IV
Rumble V;RUMBLE V
