CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,lithic,-8.341865682,-8.341865682,116.4985595,116.4985595,,,,RIN13 21B lithic (664-770AD),,,,,,,,,,,,,,,WR,50.74,1.09,,17.63,,11.23,,,10.18,5.29,0.2,,1.12,2.96,0.21,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,lithic,-8.341865682,-8.341865682,116.4985595,116.4985595,,,,RIN13 21B lithic replicate (664-770AD),,,,,,,,,,,,,,,WR,50.45,1.08,,17.51,,11.21,,,10.12,5.27,0.19,,1.11,2.94,0.21,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.328562352,-8.328562352,116.4019676,116.4019676,,,,RIN13 16A2 PcPF2,,,,,,,,,,,,,,,WR,60.63,0.65,,17.61,,4.18,,,2.58,1.05,0.19,,3.52,4.35,0.23,,,,,,,,,,,,,,,,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.328562352,-8.328562352,116.4019676,116.4019676,,,,RIN13 16A4 PcPF2,,,,,,,,,,,,,,,WR,60.4,0.65,,17.68,,4.2,,,2.59,1.05,0.12,,3.5,4.37,0.23,,,,,,,,,,,,,,,,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.328562352,-8.328562352,116.4019676,116.4019676,,,,RIN13 16T PcPF2,,,,,,,,,,,,,,,WR,56.06,0.7,,19.68,,4.6,,,2.67,1.05,0.12,,3.04,4.04,0.28,,,,,,,,,,,,,,,,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.350657677,-8.350657677,116.395068,116.395068,,,,RIN14 07B PcPF2,,,,,,,,,,,,,,,WR,61.34,0.63,,16.89,,4.12,,,2.64,1.03,0.12,,3.43,4.16,0.22,,,,,,,,,,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.369858236,-8.369858236,116.3998339,116.3998339,,,,RIN13 14_g PcPF2,,,,,,,,,,,,,,,WR,63.25,0.63,,16.28,,4.2,,,2.9,1.14,0.13,,3.68,4.64,0.24,,,,,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.369858236,-8.369858236,116.3998339,116.3998339,,,,RIN13 14_b PcPF2,,,,,,,,,,,,,,,WR,61.89,0.66,,16.83,,4.41,,,3.01,1.17,0.13,,3.56,4.57,0.27,,,,,,,,,,,,,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.372890382,-8.372890382,116.4012189,116.4012189,,,,RIN13 13z PcPF2 (625-711 AD),,,,,,,,711,,,,,,,WR,60.59,0.62,,16.88,,4.13,,,2.7,1,0.13,,3.34,4.23,0.23,,,,,,,,,,,,,,,,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrich et al., 2017",Convergent margin,RINJANI/SAMALAS,Pre-caldera pumice fall,-8.365535365,-8.365535365,116.5194098,116.5194098,,,,RIN14 24 PcPF2,,,,,,,,,,,,,,,WR,63.24,0.58,,15.75,,3.88,,,2.58,1,0.12,,3.63,4.25,0.2,,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
