"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[8290]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - ANTRIM PLATEA","FLOW NO.5 (195-305+M), IN STRATIGRAPHIC HOLE LIMBUNYA NO.1","-17.4167","-17.4167","129.3767","129.3767","SAE","","","s_70773053 [8290]","BASALT, THOLEIITIC [8290]","","","","","","","","","VOL","198","200","","","WR [8290] ","51.5","0.86","","14","","7.55","1.97","","3","8.1","0.09","","2.4","4.6","0.09","","3.6","2.05","","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211926",
"[8290]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - ANTRIM PLATEA","FLOW NO.3 (64-178M), IN STRATIGRAPHIC HOLE LIMBUNYA NO.2","-17.87","-17.87","130.0017","130.0017","SAE","","","s_70770518 [8290]","BASALT, THOLEIITIC [8290]","","","","","","","","","VOL","177","178","","","WR [8290] ","51.3","0.89","","15.2","","3.7","5.7","","7.65","7.05","0.15","","1.56","3.55","0.1","","2.1","0.93","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211927",
"[8290]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - ANTRIM PLATEA","FLOW NO.3 (64-178M), IN STRATIGRAPHIC HOLE LIMBUNYA NO.2","-17.87","-17.87","130.0017","130.0017","SAE","","","s_70773052 [8290]","BASALT, THOLEIITIC [8290]","","","","","","","","","VOL","66","67","","","WR [8290] ","50.9","0.93","","14.7","","8.75","1.88","","2.7","8.05","0.12","","2","4.1","0.1","","3.25","2.7","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211928",
"[8290]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - ANTRIM PLATEA","FLOW NO.4 (104-130M), IN STRATIGRAPHIC HOLE WAVE HILL NO.1","-17.3633","-17.3633","131.245","131.245","SAE","","","s_70772034 [8290]","BASALT, THOLEIITIC [8290]","","","","","","","","","VOL","128","130","","","WR [8290] ","48.8","0.88","","14.9","","5.15","2.4","","5.9","7.75","0.09","","5.5","1.38","0.1","","3.25","1.84","","2.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211929",
"[8290]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - ANTRIM PLATEA","FLOW NO.2 (62-148M), IN STRATIGRAPHIC HOLE WATERLOO NO.2, WATERLOO DEPOSIT, CHARTERS TOWERS DISTRICT, SEVENTY MILE RANGE GROUP, NORTHERN QUEENSLAND, TASMAN FOLD BELT","-16.4167","-16.4167","129.4067","129.4067","SAE","","","s_70776088 [8290]","BASALT, THOLEIITIC [8290]","","","","","","","","","VOL","63","64","","","WR [8290] ","51.5","0.89","","15.4","","3.55","4.75","","9.8","6.75","0.12","","1.2","2.35","0.1","","1.11","2.4","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211930",
"[8290]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - ANTRIM PLATEA","FLOW NO.4 (104-130M), IN STRATIGRAPHIC HOLE WAVE HILL NO.1","-17.3633","-17.3633","131.245","131.245","SAE","","","s_70776087 [8290]","BASALT, THOLEIITIC [8290]","","","","","","","","","VOL","105","107","","","WR [8290] ","48.4","0.93","","14.6","","5.35","5.05","","1.5","10.2","0.07","","3","3.05","0.1","","4.25","3","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211931",
"[5530]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - GAIRDNER DYKES","BEDA, STUART SHELF, ADELAIDE FOLD BELT","-31","-32","137","138","SAE","","","s_RS47 [5530]","BASALT [5530]","820000000 [5530]","820000000 [5530]","","","","","","","VOL","","","","","WR [5530] ","47.97","1.32","","14.04","","","","10.74","4.77","10.07","0.53","","0.85","4.22","0.11","","","","","","","","","","","","","","","","3.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","285","153","","","","90","","","19","","","","","33.454","155.32","21","71","4.1","","","","","","","","","","","","","220","6","18","","8.5339","2.5","","","","","","","","","","","","","","","","","","","","","","","","0.512707","","","0.729909","","","","","","","","","","","","","","","","","","","","","213343",
"[5530]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - GAIRDNER DYKES","GAIRDNER, CRATON","-30","-34","133","138","SAE","","","s_RS36 [5530]","BASALT [5530]","820000000 [5530]","820000000 [5530]","","","","","","","VOL","","","","","WR [5530] ","48.75","1.5","","14.16","","","","12.27","10.5","8.03","0.22","","0.42","2.03","0.11","","","","","","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","347","143","","","","117","","","20","","","","","15.55","163.4491","26","87","6.3","","","","","","","","","","","","","70","6","32","","12.641","3.514","","","","","","","","","","","","","","","","","","","","","","","","0.512666","","","0.707243","","","","","","","","","","","","","","","","","","","","","213345",
"[5530]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - WOOLTANA BASALTS","WOOLTANA, ADELAIDE FOLD BELT","-30.4167","-30.4167","139.4167","139.4167","SAE","","","s_88-W5 [5530]","BASALT [5530]","820000000 [5530]","820000000 [5530]","","","","","","","VOL","","","","","WR [5530] ","49.24","1.75","","13.44","","","","12.65","4.77","7.39","0.28","","1.78","3.46","0.15","","","","","","","","","","","","","","","","2.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","315","196","","","","102","","","19","","","","","70.452","140.72","27","102","6.4","","","","","","","","","","","","","277","10","28","","13.1","3.6123","","","","","","","","","","","","","","","","","","","","","","","","0.512542","","","0.727101","","","","","","","","","","","","","","","","","","","","","213346",
"[5530]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - WOOLTANA BASALTS","WOOLTANA, ADELAIDE FOLD BELT","-30.4167","-30.4167","139.4167","139.4167","SAE","","","s_976/16/42 [5530]","BASALT [5530]","820000000 [5530]","820000000 [5530]","","","","","","","VOL","","","","","WR [5530] ","49.3","1.59","","14.13","","","","13.41","7.55","7.93","0.35","","1.13","2.98","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8","","362.4","277","","","","119","","","20","","","","","61.7","141.3","24.5","91","6.3","","","","","","","","","","","","","158","8","18","","12.88","3.65","","","","","","","","","","","","","","","","","","","","3.4","","1.6","","0.512649","","","0.72151","","","","","","","","","","","","","","","","","","","","","213348",
"[5530]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - WOOLTANA BASALTS","WOOLTANA, ADELAIDE FOLD BELT","-30.4167","-30.4167","139.4167","139.4167","SAE","","","s_976/W14 [5530]","BASALT [5530]","820000000 [5530]","820000000 [5530]","","","","","","","VOL","","","","","WR [5530] ","50.73","1.9","","14.45","","","","13.87","7.96","5.06","0.15","","0.42","3.74","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","338.1","74","","","","65","","","23.5","","","","","35.4","175.6","42.9","150","9.7","","","","","","","","","","","","","21","23","47","","24.08","5.94","","","","","","","","","","","","","","","","","","","","7","","7","4","0.512468","","","0.72968","","","","","","","","","","","","","","","","","","","","","213349",
"[5530]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - WOOLTANA BASALTS","WOOLTANA, ADELAIDE FOLD BELT","-30.4167","-30.4167","139.4167","139.4167","SAE","","","s_976/E30 [5530]","BASALT [5530]","820000000 [5530]","820000000 [5530]","","","","","","","VOL","","","","","WR [5530] ","47.57","1.47","","14.61","","","","12.52","9.75","7.86","0.24","","2.63","1.83","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7","","394","260","","","","180","","","21","","","","","99.5","253.1","23.8","92","5.4","","","","","","","","","","","","","481","8","23","","12.48","3.66","","","","","","","","","","","","","","","","","","","","11.9","","1","","0.512743","","","0.72737","","","","","","","","","","","","","","","","","","","","","213350",
"[5530]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - WOOLTANA BASALTS","WOOLTANA, ADELAIDE FOLD BELT","-30.4167","-30.4167","139.4167","139.4167","SAE","","","s_976/E79 [5530]","BASALT [5530]","820000000 [5530]","820000000 [5530]","","","","","","","VOL","","","","","WR [5530] ","49.61","1.69","","13.51","","","","14.42","4.34","8.67","0.2","","2.42","3.4","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","366","339","","","","144","","","21.3","","","","","54.5","76.5","22.8","97","6","","","","","","","","","","","","","591","12","29","","18.13","4.51","","","","","","","","","","","","","","","","","","","","3.8","","","","0.512468","","","0.7382","","","","","","","","","","","","","","","","","","","","","213351",
"[5530]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - WOOLTANA BASALTS","WOOLTANA, ADELAIDE FOLD BELT","-30.4167","-30.4167","139.4167","139.4167","SAE","","","s_976/109 [5530]","BASALT [5530]","820000000 [5530]","820000000 [5530]","","","","","","","VOL","","","","","WR [5530] ","49.7","2.14","","13.74","","","","15.12","4.94","7.07","0.22","","1.78","3.41","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.8","","387","251","","","","105","","","25","","","","","71.2","167.2","31.3","132","8.6","","","","","","","","","","","","","550","10","21","","17.58","4.95","","","","","","","","","","","","","","","","","","","","17.6","","1.5","","0.512618","","","0.7273","","","","","","","","","","","","","","","","","","","","","213352",
"[1756]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","GELORUP QUARRY, THICKEST EXPOSURE 14 M ABOVE QUARRY FLOOR ON EASTERN WALL","-33.32","-33.32","115.63","115.63","SAE","","","s_BB3 [1756]","BASALT [1756]","123000000 [1756]","130000000 [1756]","LOWER [1756]","CRETACEOUS [1756]","","","","","VOL","","","","","WR [1756] ","52.1","1.97","","14.4","","","","10.98","9.45","5.55","0.18","","0.45","3.35","0.24","","","","","","","","","","","","","","","","8.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","262","274","","","","41","","","","","","","","8","227","41","136","6","","","","","","","","","","","","","102","8.6","22.4","","16.8","5.13","1.74","","0.97","","1.25","","","3.1","0.44","3.4","0.59","","","","","","","","","","","1.31","","0.512741","","","0.70482","","17.905","","15.584","","38.22","","","","","","","","","","","","","","","213653",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - GAIRDNER DYKES","AQUITAINE SSR 1001, GAWLER CRATON","-30.8333","-30.8333","136.3667","136.3667","SAE","","","s_91-563 [8380]","DOLERITE [8380]","790000000 [8380]","870000000 [8380]","","","","","","OPHITIC [8380] ","VOL","411","411","S","","WR [8380] ","50.3","1.45","","14.2","","11.9","","","11.1","7.55","0.45","","0.05","1.78","0.23","","","","","","","","","","","","","","","","1.51","","","","","","","","","","","","","","15.1","0.58","","","","","","","","433","","","","","38.7","8537","323","162","","","53","98","165","105","18.2","","","","","4.41","157","24.6","86.6","5.66","","","","","","","","","","","","0.56","33.6","6.5","16.5","2.4","11.43","3.28","1.18","3.95","0.7","4.09","0.83","2.35","0.32","2.09","0.3","2.29","0.41","","","","","","","","","20.82","","0.99","0.21","0.512726","","","","","","","","","","","","","","","","","","","","","","","","213708",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - GAIRDNER DYKES","SHELL REEDY LAGOON DDH1 RL1, GAWLER CRATON","-30.3167","-30.3167","136.0667","136.0667","SAE","","","s_91-564 [8380]","DOLERITE [8380]","790000000 [8380]","870000000 [8380]","","","","","","OPHITIC [8380] ","VOL","649.1","649.1","S","","WR [8380] ","50.1","1.6","","14.2","","12.5","","","11.2","7","0.27","","0.05","1.99","0.18","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","9.15","0.63","","","","","","","","470","","","","","41","9585","373","230","","","49","91","196","97","19.3","","","","","5.44","159","24.7","90.3","6.01","","","","","","","","","","","","0.64","28.7","6.61","17.16","2.39","11.85","3.42","1.24","4.05","0.7","4.2","0.84","2.39","0.32","2.11","0.295","2.39","0.43","","","","","","","","","1.78","","0.9","0.21","0.512744","","","","","","","","","","","","","","","","","","","","","","","","213709",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - GAIRDNER DYKES","MOUNT GUNSON, CSR LY3, GAWLER CRATON","-31.43","-31.43","137.1","137.1","SAE","","","s_91-565 [8380]","DOLERITE [8380]","790000000 [8380]","870000000 [8380]","","","","","","OPHITIC [8380] ","VOL","240","240","S","","WR [8380] ","48.8","2.16","","13.5","","11.3","","","10.7","4.58","0.63","","0.05","2.12","0.21","","","","","","","","","","","","","","","","5.35","","","","","","","","","","","","","","41.2","1.03","","","","","","","","680","","","","","40.8","12247","390","125","","","52","77","236","444","21.4","","","","","4.45","185","33.7","128","8.22","","","","","","","","","","","","2.05","87.8","9.41","24.43","3.29","16.89","4.77","1.64","5.58","0.91","5.62","1.12","3.18","0.42","2.8","0.361","3.36","0.58","","","","","","","","","59.87","","1.29","0.26","0.512693","","","","","","","","","","","","","","","","","","","","","","","","213710",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WARAKURNA - MUSGRAVE BLOCK - AMATA SUITE","AMATA AREA, CENTRAL AUSTRALIAN CRATON","-26.2","-26.7","131","131.2","SAE","","","s_91-562 [8380]","NOT GIVEN [8380]","790000000 [8380]","870000000 [8380]","","","","","","","VOL","","","S","","WR [8380] ","49.81","1.48","","13.95","","2.76","9.4","","11.67","7.32","0.17","","0.23","1.99","0.14","","","","","","","","","","","","","","","","1.01","","","","","","","","","","","","","","6.74","0.56","","","","","","","","457","","","","","40.2","9663","373","176","","","69","108","162","87","19.1","","","","","5.77","167","23.5","83","5.35","","","","","","","","","","","","0.07","45.7","6.16","15.76","2.24","11.17","3.24","1.17","3.89","0.66","4.05","0.8","2.31","0.31","2.04","0.297","2.18","0.63","","","","","","","","","1.44","","0.8","0.19","0.512755","","","","","","","","","","","","","","","","","","","","","","","","213713",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WARAKURNA - MUSGRAVE BLOCK - AMATA SUITE","AMATA AREA, CENTRAL AUSTRALIAN CRATON","-20","-20","132.32","132.32","SAE","","","s_91-555 [8380]","NOT GIVEN [8380]","790000000 [8380]","870000000 [8380]","","","","","","","VOL","","","S","","WR [8380] ","50.87","1.33","","14.03","","2.28","9.27","","11.05","7.16","0.17","","0.21","2.11","0.12","","","","","","","","","","","","","","","","0.99","","","","","","","","","","","","","","5.55","0.62","","","","","","","","523","","","","","39.7","8739","320","203","","","76","110","159","94","18.6","","","","","6.51","167","25.7","93.6","6.42","","","","","","","","","","","","0.14","46.3","7.15","18.31","2.41","12.53","3.56","1.24","4.23","0.67","4.41","0.81","2.55","0.31","2.26","0.332","2.5","0.71","","","","","","","","","1.33","","0.9","0.26","0.512736","","","","","","","","","","","","","","","","","","","","","","","","213714",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WARAKURNA - AMADEUS BASIN - BITTER SPRINGS VOLCANI","BITTER SPRINGS, CENTRAL AUSTRALIAN CRATON","-25.23","-25.23","131.51","131.51","SAE","","","s_91-566 [8380]","BASALT [8380]","800000000 [8380]","800000000 [8380]","","","","","","","VOL","","","S","","WR [8380] ","47.63","1.51","","14.73","","5.04","5.57","","9.76","6.17","0.13","","0.53","2.18","0.13","","","","","","","","","","","","","","","","6.46","","","","","","","","","","","","","","13.9","0.96","","","","","","","","547","","","","","35.2","10848","350","138","","","40","96","94","69","19.1","","","","","16.4","181","24.9","98.4","8","","","","","","","","","","","","0.3","115","8.61","19.61","2.87","13.57","3.66","1.17","4.13","0.72","4.32","0.88","2.51","0.34","2.25","0.328","2.77","0.51","","","","","","","","","1.98","","2.39","0.55","0.512464","","","","","","","","","","","","","","","","","","","","","","","","213715",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WARAKURNA - AMADEUS BASIN - BITTER SPRINGS VOLCANI","BITTER SPRINGS, CENTRAL AUSTRALIAN CRATON","-23.75","-23.75","134.11","134.11","SAE","","","s_91-567 [8380]","BASALT [8380]","800000000 [8380]","800000000 [8380]","","","","","","","VOL","","","S","","WR [8380] ","48.89","1.72","","13.14","","3","6.08","","7.06","7.57","0.14","","0.89","4.33","0.15","","","","","","","","","","","","","","","","3.53","","","","","","","","","","","","","","47.5","0.89","","","","","","","","610","","","","","37.3","10808","335","188","","","50","87","308","215","18.1","","","","","11.8","208","26.8","108","7.43","","","","","","","","","","","","0.26","124","8.23","19.63","2.9","13.15","3.6","1.37","4.27","0.76","4.11","0.9","2.28","0.34","1.97","0.285","2.73","0.59","","","","","","","","","3.93","","1.33","0.3","0.512661","","","","","","","","","","","","","","","","","","","","","","","","213716",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WARAKURNA - AMADEUS BASIN - BITTER SPRINGS VOLCANI","BITTER SPRINGS, CENTRAL AUSTRALIAN CRATON","-23.84","-23.84","135.16","135.16","SAE","","","s_91-568 [8380]","BASALT [8380]","800000000 [8380]","800000000 [8380]","","","","","","","VOL","","","S","","WR [8380] ","47.56","1.54","","13.66","","6.41","5.93","","6.65","9.12","0.13","","1.69","2.77","0.13","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","","","43.4","0.63","","","","","","","","531","","","","","38.9","11026","324","260","","","57","147","43","52","17.3","","","","","25.9","298","24.4","95.1","5.85","","","","","","","","","","","","0.13","339","6.31","15.77","2.32","11.29","3.21","0.99","3.74","0.65","3.95","0.8","2.3","0.32","2.04","0.293","2.53","0.46","","","","","","","","","1.59","","1.08","0.24","0.512701","","","","","","","","","","","","","","","","","","","","","","","","213717",
"[8380]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WARAKURNA - MUSGRAVE BLOCK - AMATA SUITE","AMATA AREA, CENTRAL AUSTRALIAN CRATON","-20","-20","132.32","132.32","SAE","","","s_91-555 [8380]","NOT GIVEN [8380]","790000000 [8380]","870000000 [8380]","","","","","","","VOL","","","S","","WR [8380] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.23","0.58","","","","","","","","477","","","","","38.7","8583","254","194","","","74","107","156","93","18.7","","","","","6.56","172","26.2","94.8","6.46","","","","","","","","","","","","0.15","47.5","6.27","14.8","2.33","11.09","3.23","1.12","3.82","0.66","3.83","0.82","2.28","0.31","1.94","0.297","2.48","0.72","","","","","","","","","1.34","","0.9","0.27","","","","","","","","","","","","","","","","","","","","","","","","","213718",
"[8381]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - GAIRDNER DYKES","SHELL REEDY LAGOON DDH1 RL1, GAWLER CRATON","-30.3167","-30.3167","136.0667","136.0667","SAE","","","s_RS28 [8381]","BASALT [8381]","","","","","","","","","VOL","","","","","WR [8381] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.85","3.416","","","","","","","","","","","","","","","","","","","","","","","","0.512744","","","","","","","","","","","","","","","","","","","","","","","","213964",
"[8384]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - CALLANA GROUP","BLINMAN DIAPIR, ADELAIDE FOLD BELT","-31.1","-31.1","138.6667","138.6667","SAE","","","s_939-90-9 [8384]","SHALE [8384]","850000000 [8384]","850000000 [8384]","","","","","","","SED","","","","","WR [8384] ","49.38","0.49","","10.65","","3.83","","","6.02","12.52","0.05","","3.61","0.39","0.1","","","","","","","","","","","","","","","","12.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","73","60","","","","29","","","11","","","","","66.2","38.4","18","128","10","","","","","","","","","","","","","289","19","38","","16.89","3.27","","","","","","","","","","","","","","","","","","","","3.9","","7","3.1","0.511744","","","0.77728","","","","","","","","","","","","","","","","","","","","","215116",
"[8384]","CONTINENTAL FLOOD BASALT","AUSTRALIA / SOUTH AUSTRALIA / WILLOURAN BASIC PROVINCE - CALLANA GROUP","ARKAROOLA, ADELAIDE FOLD BELT","-30.3333","-30.3333","139.3667","139.3667","SAE","","","s_939-90-8 [8384]","SCHIST, BIOTITE [8384]","850000000 [8384]","850000000 [8384]","","","","","","","MET","","","","","WR [8384] ","49.96","0.92","","18.98","","4.67","","","0.12","12.2","0.02","","8.77","0.68","0.07","","","","","","","","","","","","","","","","2.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","168","136","","","","48","","","23","","","","","336.4","43.3","32","161","17","","","","","","","","","","","","","1020","23","42","","16.87","2.94","0.56","3.3","","2.81","","1.86","","2.01","","","","","","","","","","","","0","","8","2","0.511639","","","0.84297","","","","","","","","","","","","","","","","","","","","","215117",
"[6467]","CONTINENTAL FLOOD BASALT","AUSTRALIA / NORTHERN TERRITORY / WARAKURNA - MUSGRAVE BLOCK - TOMKINSON RANGES","W CHAMP DE MARS, CENTRAL AUSTRALIAN CRATON","-26","-26.3","128.8333","129.3333","SAE","","","s_91988086 [6467]","DOLERITE [6467]","1100000000 [6467]","1100000000 [6467]","","","","","","INTERGRANULAR [6467] ","VOL","","","","","WR [6467] ","49.35","0.85","","14.83","","4.32","6.88","","11.04","8.53","0.16","","0.56","2.34","0.11","","","","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","10","","","","","","","","","","850","","","","38","","299","384","","","","205","33","80","16","","1.5","","","15","160","23","86","2","","","","","","","","","","","","","264","9","26","","10","","","","","","","","","","","3","","","","","","","","","","4","","2","0","","","","","","","","","","","","","","","","","","","","","","","","","216065",
"[6467]","CONTINENTAL FLOOD BASALT","AUSTRALIA / NORTHERN TERRITORY / WARAKURNA - MUSGRAVE BLOCK - GILES COMPLEX","N HINCKLEY RANGE, CENTRAL AUSTRALIAN CRATON","-25.8","-26.3","128.6667","129","SAE","","","s_91989151A [6467]","DOLERITE [6467]","1080000000 [6467]","1080000000 [6467]","","","","","","INTERGRANULAR [6467] ","VOL","","","","","WR [6467] ","51.91","1.39","","15.77","","1.78","8.48","","8.41","6.72","0.13","","0.51","3.24","0.23","","","","","","","","","","","","","","","","0.67","","","","","","","","","","","","","","5","","","","","","","","","","1010","","","","24","","228","389","","","","197","112","92","19","","1.5","","","5","459","20","83","2","","","","","","","","","","","","","239","11","19","","15","","","","","","","","","","","0","","","","","","","","","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","216066",
